player_name,team,position,adp,source
Jordyn Tyson,NO,WR,85,fantasypros_ecr
Courtland Sutton,DEN,WR,86,fantasypros_ecr
Wan'Dale Robinson,TEN,WR,87,fantasypros_ecr
Rico Dowdle,PIT,RB,88,fantasypros_ecr
Chuba Hubbard,CAR,RB,89,fantasypros_ecr
Michael Wilson,ARI,WR,90,fantasypros_ecr
RJ Harvey,DEN,RB,91,fantasypros_ecr
Alec Pierce,IND,WR,92,fantasypros_ecr
Jaxson Dart,NYG,QB,93,fantasypros_ecr
Brock Purdy,SF,QB,94,fantasypros_ecr
Travis Kelce,KC,TE,95,fantasypros_ecr
Patrick Mahomes II,KC,QB,96,fantasypros_ecr
Bo Nix,DEN,QB,97,fantasypros_ecr
Kenny Gainwell,TB,RB,98,fantasypros_ecr
Makai Lemon,PHI,WR,99,fantasypros_ecr
Jakobi Meyers,JAX,WR,100,fantasypros_ecr
J.K. Dobbins,DEN,RB,101,fantasypros_ecr
Jonathon Brooks,CAR,RB,102,fantasypros_ecr
Quentin Johnston,LAC,WR,103,fantasypros_ecr
George Kittle,SF,TE,104,fantasypros_ecr
Matthew Stafford,LAR,QB,105,fantasypros_ecr
Jared Goff,DET,QB,106,fantasypros_ecr
Kyle Monangai,CHI,RB,107,fantasypros_ecr
Rachaad White,WAS,RB,108,fantasypros_ecr
Jordan Addison,MIN,WR,109,fantasypros_ecr
Jayden Reed,GB,WR,110,fantasypros_ecr
Kyler Murray,MIN,QB,111,fantasypros_ecr
Jake Ferguson,DAL,TE,112,fantasypros_ecr
Blake Corum,LAR,RB,113,fantasypros_ecr
Aaron Jones Sr.,MIN,RB,114,fantasypros_ecr
Dalton Kincaid,BUF,TE,115,fantasypros_ecr
Stefon Diggs,WAS,WR,116,fantasypros_ecr
Isaiah Likely,NYG,TE,117,fantasypros_ecr
Baker Mayfield,TB,QB,118,fantasypros_ecr
Jordan Love,GB,QB,119,fantasypros_ecr
Jacory Croskey-Merritt,WAS,RB,120,fantasypros_ecr
Khalil Shakir,BUF,WR,121,fantasypros_ecr
Jordan Mason,MIN,RB,122,fantasypros_ecr
Dallas Goedert,PHI,TE,123,fantasypros_ecr
Tyler Shough,NO,QB,124,fantasypros_ecr
Jayden Higgins,HOU,WR,125,fantasypros_ecr
Jalen Coker,CAR,WR,126,fantasypros_ecr
Xavier Worthy,KC,WR,127,fantasypros_ecr
Mark Andrews,BAL,TE,128,fantasypros_ecr
Romeo Doubs,NE,WR,129,fantasypros_ecr
KC Concepcion,CLE,WR,130,fantasypros_ecr
Malik Willis,MIA,QB,131,fantasypros_ecr
Matthew Golden,GB,WR,132,fantasypros_ecr
Tyrone Tracy Jr.,NYG,RB,133,fantasypros_ecr
C.J. Stroud,HOU,QB,134,fantasypros_ecr
Tyler Allgeier,ARI,RB,135,fantasypros_ecr
Woody Marks,HOU,RB,136,fantasypros_ecr
Sam Darnold,SEA,QB,137,fantasypros_ecr
Chris Rodriguez Jr.,JAX,RB,138,fantasypros_ecr
Tyjae Spears,TEN,RB,139,fantasypros_ecr
Juwan Johnson,NO,TE,140,fantasypros_ecr
Zach Charbonnet,SEA,RB,141,fantasypros_ecr
Deebo Samuel Sr.,SF,WR,142,fantasypros_ecr
Alvin Kamara,NO,RB,143,fantasypros_ecr
Rashid Shaheed,SEA,WR,144,fantasypros_ecr
Dylan Sampson,CLE,RB,145,fantasypros_ecr
Isiah Pacheco,DET,RB,146,fantasypros_ecr
Chig Okonkwo,WAS,TE,147,fantasypros_ecr
Cam Ward,TEN,QB,148,fantasypros_ecr
Daniel Jones,IND,QB,149,fantasypros_ecr
Keaton Mitchell,LAC,RB,150,fantasypros_ecr
Brenton Strange,JAX,TE,151,fantasypros_ecr
Denzel Boston,CLE,WR,152,fantasypros_ecr
Jerry Jeudy,CLE,WR,153,fantasypros_ecr
Hunter Henry,NE,TE,154,fantasypros_ecr
Bryce Young,CAR,QB,155,fantasypros_ecr
Jauan Jennings,MIN,WR,156,fantasypros_ecr
Houston Texans,HOU,DST,157,fantasypros_ecr
Tank Bigsby,PHI,RB,158,fantasypros_ecr
De'Zhaun Stribling,SF,WR,159,fantasypros_ecr
Brian Robinson Jr.,ATL,RB,160,fantasypros_ecr
Adonai Mitchell,NYJ,WR,161,fantasypros_ecr
Omar Cooper Jr.,NYJ,WR,162,fantasypros_ecr
Jonah Coleman,DEN,RB,163,fantasypros_ecr
Jalen McMillan,TB,WR,164,fantasypros_ecr
Tre Tucker,LV,WR,165,fantasypros_ecr
Denver Broncos,DEN,DST,166,fantasypros_ecr
Dalton Schultz,HOU,TE,167,fantasypros_ecr
Tre' Harris,LAC,WR,168,fantasypros_ecr
Seattle Seahawks,SEA,DST,169,fantasypros_ecr
Los Angeles Rams,LAR,DST,170,fantasypros_ecr
Travis Hunter,JAX,WR,171,fantasypros_ecr
Oronde Gadsden II,LAC,TE,172,fantasypros_ecr
Braelon Allen,NYJ,RB,173,fantasypros_ecr
Philadelphia Eagles,PHI,DST,174,fantasypros_ecr
T.J. Hockenson,MIN,TE,175,fantasypros_ecr
Ray Davis,BUF,RB,176,fantasypros_ecr
Ryan Flournoy,DAL,WR,177,fantasypros_ecr
Jalen Nailor,LV,WR,178,fantasypros_ecr
Jacoby Brissett,ARI,QB,179,fantasypros_ecr
Pittsburgh Steelers,PIT,DST,180,fantasypros_ecr
New England Patriots,NE,DST,181,fantasypros_ecr
Kimani Vidal,LAC,RB,182,fantasypros_ecr
